,City of Interest,City,State,Total INC 5000 Businesses in Area,Construction,IT Services,Advertising & Marketing,Government Services,Health,Financial Services,Food & Beverage,Real Estate,Security,Education,Human Resources,Consulting,Manufacturing,Business Products & Services,Logistics & Transportation,Software,Travel & Hospitality,Retail,Telecommunications,Media,Consumer Products & Services,Energy,Insurance,Environmental Services,Engineering,Computer Hardware,Business Services
"Derwood,+MD",,Derwood,MD,349,9,86,16,105,10,10,1,8,4,3,8,0,1,31,6,19,5,2,7,2,5,5,1,2,2,1,0
"Des+Moines,+IA",,Des Moines,IA,6,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
"Des+Plaines,+IL",,Des Plaines,IL,243,9,46,26,0,15,10,12,6,4,7,11,0,16,22,10,13,1,7,6,3,9,2,1,1,2,4,0
"Detroit,+MI",,Detroit,MI,79,3,17,7,1,4,7,3,1,0,2,7,0,2,7,2,3,0,1,3,1,2,1,0,2,3,0,0
"DFW+Airport,+TX",,DFW Airport,TX,146,8,28,5,1,8,13,5,5,3,0,5,0,9,17,1,7,5,6,5,0,6,5,1,3,0,0,0
"Diamond+Bar,+CA",,Diamond Bar,CA,178,5,16,26,1,9,13,3,6,3,0,6,0,4,23,6,9,2,12,8,4,11,1,3,0,1,6,0
"Doral,+FL",,Doral,FL,67,2,9,7,0,7,3,2,1,0,1,5,0,0,7,4,1,2,6,1,1,4,2,1,0,1,0,0
"Dorr,+MI",,Dorr,MI,19,0,3,2,0,0,0,0,0,0,1,3,0,5,0,0,1,0,1,1,0,0,0,0,0,0,2,0
"Dover,+DE",,Dover,DE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Downers+Grove,+IL",,Downers Grove,IL,242,9,45,28,0,14,10,12,6,4,7,11,0,17,23,10,12,1,6,6,3,9,2,1,0,2,4,0
"Draper,+UT",,Draper,UT,86,7,1,6,1,5,7,6,0,5,2,3,0,4,5,4,11,0,8,2,0,6,0,2,0,0,1,0
"Dripping+Springs,+TX",,Dripping Springs,TX,95,4,10,12,3,6,6,3,4,0,3,0,0,5,7,3,6,1,6,2,0,8,3,1,1,1,0,0
"Dublin,+CA",,Dublin,CA,229,4,42,35,0,7,13,11,4,3,6,8,0,5,22,2,27,0,10,7,2,5,6,0,3,1,6,0
"Dublin,+OH",,Dublin,OH,42,1,11,5,1,3,3,1,0,0,0,1,0,1,1,3,2,0,3,1,0,0,2,0,1,1,1,0
"Dulles,+VA",,Dulles,VA,311,6,76,16,95,10,9,1,8,5,2,7,0,1,24,6,19,5,2,6,2,3,4,0,2,1,1,0
"Duluth,+GA",,Duluth,GA,185,8,40,12,2,14,13,5,4,4,0,16,0,7,17,5,13,0,5,8,1,4,1,2,1,0,3,0
"Duluth,+MN",,Duluth,MN,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Dumfries,+VA",,Dumfries,VA,242,4,61,12,78,3,8,1,5,4,1,5,0,1,21,4,17,3,1,5,2,1,2,0,2,0,1,0
"Duncanville,+TX",,Duncanville,TX,132,8,24,5,1,8,11,5,3,3,0,5,0,9,17,0,6,5,6,3,0,6,5,0,2,0,0,0
"Durango,+CO",,Durango,CO,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Durham,+NC",,Durham,NC,45,2,3,6,0,6,3,1,0,2,2,5,0,2,1,0,5,0,2,0,0,1,1,0,1,2,0,0
"Eagan,+MN",,Eagan,MN,76,4,17,8,0,7,4,2,1,1,0,3,0,0,8,1,6,0,5,2,0,2,4,0,0,1,0,0
"Eagle,+ID",,Eagle,ID,9,1,0,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0
"East+Dubuque,+IL",,East Dubuque,IL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"East+Dundee,+IL",,East Dundee,IL,139,9,25,7,0,9,5,8,1,0,4,8,0,14,9,6,5,1,5,3,2,7,2,1,1,2,5,0
"East+Greenwich,+RI",,East Greenwich,RI,19,0,3,2,0,2,1,2,0,1,0,1,0,0,1,0,1,0,2,1,0,0,1,1,0,0,0,0
"East+Hartford,+CT",,East Hartford,CT,18,1,3,1,0,2,0,1,0,0,1,0,0,2,2,0,2,0,1,0,0,0,1,0,0,1,0,0
"East+Lyme,+CT",,East Lyme,CT,9,1,0,0,1,1,0,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
"East+Norriton,+PA",,East Norriton,PA,120,3,18,7,0,15,10,1,1,0,4,10,0,6,15,3,7,2,2,1,1,4,3,4,3,0,0,0
"East+Providence,+RI",,East Providence,RI,31,0,5,2,1,2,3,2,0,1,0,1,0,2,2,2,1,1,2,2,0,0,1,1,0,0,0,0
"East+Stroudsburg,+PA",,East Stroudsburg,PA,10,0,1,0,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0
"East+Windsor,+NJ",,East Windsor,NJ,97,1,26,6,1,8,5,1,1,0,3,7,0,5,6,2,8,1,4,1,2,2,3,2,1,1,0,0
"Easton,+MD",,Easton,MD,10,0,2,0,2,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"Ebensburg,+PA",,Ebensburg,PA,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Eden+Prairie,+MN",,Eden Prairie,MN,76,4,17,8,0,7,3,0,1,1,0,3,0,2,8,2,6,0,5,2,0,2,4,0,0,1,0,0
"Edison,+NJ",,Edison,NJ,293,3,56,52,1,15,10,6,2,1,11,15,0,6,26,2,18,6,12,10,13,14,3,4,2,4,1,0
"Edmond,+OK",,Edmond,OK,28,5,2,4,2,1,0,0,0,0,0,1,0,3,2,0,1,0,2,1,0,0,1,0,3,0,0,0
"Effingham,+IL",,Effingham,IL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"El+Cajon,+CA",,El Cajon,CA,90,6,5,9,3,5,7,2,3,0,3,2,0,4,11,0,8,3,3,2,0,4,3,0,2,2,2,1
"El+Dorado+Hills,+CA",,El Dorado Hills,CA,18,0,3,1,0,2,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,3,0,1,0,1,1,0
"El+Paso,+TX",,El Paso,TX,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"El+Segundo,+CA",,El Segundo,CA,171,1,15,27,1,8,9,5,2,3,2,1,0,4,18,6,12,4,15,5,8,15,1,2,1,3,3,0
"El+Segunod,+CA",,El Segunod,CA,171,1,15,27,1,8,9,5,2,3,2,1,0,4,18,6,12,4,15,5,8,15,1,2,1,3,3,0
"Elberton,+GA",,Elberton,GA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eldersburg,+MD",,Eldersburg,MD,103,5,20,8,23,5,3,0,2,1,2,3,0,1,10,2,3,0,2,1,1,4,3,1,0,3,0,0
"Elgin,+IL",,Elgin,IL,141,9,25,8,0,8,5,9,1,0,4,8,0,14,10,7,5,1,5,3,2,6,2,1,1,2,5,0
"Elizabethtown,+KY",,Elizabethtown,KY,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elk+Grove,+CA",,Elk Grove,CA,18,0,3,1,0,2,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,3,1,0,0,1,1,0
"Elk+Grove+Village,+IL",,Elk Grove Village,IL,245,9,46,27,0,15,10,12,6,4,7,11,0,16,22,10,13,1,7,6,3,10,2,1,1,2,4,0
"Elkhart,+IN",,Elkhart,IN,9,0,1,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Elkins+Park,+PA",,Elkins Park,PA,128,4,18,7,0,16,10,1,1,0,4,11,0,8,16,3,8,3,2,1,1,4,3,4,3,0,0,0
"Elkridge,+MD",,Elkridge,MD,166,8,32,10,36,10,4,0,5,3,3,5,0,2,21,2,6,2,2,1,1,5,4,1,0,3,0,0
"Elkton,+MD",,Elkton,MD,18,1,3,1,1,3,0,0,0,0,1,2,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0
"Ellicott+City,+MD",,Ellicott City,MD,168,8,33,10,37,11,4,0,5,3,3,5,0,1,21,2,6,2,2,1,1,5,4,1,0,3,0,0
"Ellisville,+MO",,Ellisville,MO,32,1,4,3,0,3,6,1,0,1,1,1,0,1,2,2,1,0,1,0,0,2,0,0,1,1,0,0
"Elmhurst,+IL",,Elmhurst,IL,244,9,46,27,0,14,10,12,6,4,7,11,0,17,23,10,13,1,6,6,3,9,2,1,1,2,4,0
"Emerald+Isle,+NC",,Emerald Isle,NC,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Emeryville,+CA",,Emeryville,CA,174,2,21,29,0,6,11,11,4,1,5,9,0,4,17,2,23,0,10,3,2,6,4,1,1,0,2,0
"Encinitas,+CA",,Encinitas,CA,101,6,5,10,4,5,7,2,4,0,3,2,0,6,11,1,10,4,3,2,0,5,3,1,2,2,2,1
"Encino,+CA",,Encino,CA,158,1,13,28,1,8,8,5,2,2,2,2,0,4,16,5,12,4,12,4,7,12,1,2,1,3,3,0
"Enfield,+NH",,Enfield,NH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Englewood,+NJ",,Englewood,NJ,304,5,47,59,1,18,14,8,3,3,13,11,0,6,29,5,16,7,14,10,14,13,2,1,1,3,1,0
"Englewood,+CO",,Englewood,CO,114,5,13,13,0,6,2,9,1,1,1,6,0,1,16,0,16,3,2,3,0,8,1,0,1,3,3,0
"Englewood+Cliffs,+NJ",,Englewood Cliffs,NJ,304,5,47,59,1,18,14,8,3,3,13,11,0,6,29,5,16,7,14,10,14,13,2,1,1,3,1,0
"Enka,+NC",,Enka,NC,7,1,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
"Erdenheim,+PA",,Erdenheim,PA,134,4,19,8,0,18,10,1,1,0,5,11,0,8,16,3,8,3,2,1,1,5,3,4,3,0,0,0
"Erlanger,+KY",,Erlanger,KY,54,0,8,3,0,2,4,2,0,1,0,3,0,7,9,7,0,0,1,1,1,1,0,1,0,3,0,0
"Escondido,+CA",,Escondido,CA,101,5,5,10,3,6,7,3,4,0,3,2,0,6,11,1,10,4,3,2,0,5,3,1,2,2,2,1
"Euclid,+OH",,Euclid,OH,56,2,6,3,1,8,4,0,1,2,0,5,0,7,9,0,1,0,0,1,2,2,0,1,0,1,0,0
"Eugene,+OR",,Eugene,OR,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Evanston,+IL",,Evanston,IL,230,9,45,25,0,15,10,10,5,4,7,10,0,14,22,8,13,1,6,6,2,9,2,1,0,2,4,0
"Everett,+WA",,Everett,WA,104,0,14,12,0,9,5,2,5,0,0,1,0,3,23,1,10,0,6,2,0,4,2,1,0,3,1,0
"Ewing,+NJ",,Ewing,NJ,121,2,25,5,1,15,6,1,1,0,4,12,0,9,12,3,5,2,3,2,2,2,3,4,2,0,0,0
"Exeter,+RI",,Exeter,RI,16,0,3,2,0,1,1,1,0,1,0,1,0,0,0,0,1,0,2,1,0,0,1,1,0,0,0,0
"Exeter,+NH",,Exeter,NH,34,0,6,1,0,3,2,1,1,0,1,3,0,2,4,3,1,0,1,2,0,1,1,0,1,0,0,0
"Exton,+PA",,Exton,PA,103,4,21,6,2,15,5,1,0,0,5,8,0,2,12,1,5,1,1,1,1,5,2,2,3,0,0,0
"Fairbanks,+AK",,Fairbanks,AK,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Fairborn,+OH",,Fairborn,OH,15,1,3,0,1,1,0,0,0,0,1,0,0,3,1,0,0,0,0,1,0,0,2,0,0,1,0,0
"Fairbury,+NE",,Fairbury,NE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Fairfax,+VA",,Fairfax,VA,318,7,80,17,96,10,9,1,8,5,2,7,0,1,24,6,19,5,2,6,2,3,4,0,2,1,1,0
"Fairfield,+CT",,Fairfield,CT,52,2,8,8,0,4,4,1,1,2,3,0,0,2,3,4,2,2,0,0,4,0,0,2,0,0,0,0
"Fairfield,+NJ",,Fairfield,NJ,290,5,53,53,1,15,13,7,2,1,11,14,0,5,29,3,15,6,13,8,11,12,3,4,2,3,1,0
"Fairfield,+OH",,Fairfield,OH,58,0,8,3,0,2,4,2,0,1,0,3,0,7,9,7,0,0,2,1,1,1,2,1,0,4,0,0
"Fairhaven,+MA",,Fairhaven,MA,20,0,4,2,0,1,1,1,1,1,0,1,0,1,1,0,1,0,2,0,0,1,1,1,0,0,0,0
"Fairport,+NY",,Fairport,NY,22,1,4,1,0,0,1,0,0,0,0,2,0,3,3,0,0,0,0,6,0,1,0,0,0,0,0,0
"Falkville,+AL",,Falkville,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Falls+Church,+VA",,Falls Church,VA,339,7,84,17,102,10,10,1,8,5,4,8,0,1,27,6,19,5,2,7,2,4,5,0,2,2,1,0
"Fargo,+ND",,Fargo,ND,6,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Farmingdale,+NY",,Farmingdale,NY,250,3,31,53,0,12,12,7,3,4,12,10,0,5,20,4,11,7,13,8,14,13,1,2,1,3,1,0
"Farmington,+UT",,Farmington,UT,57,4,1,4,1,2,6,2,1,0,2,2,0,4,5,3,5,0,7,1,0,5,0,1,0,0,1,0
"Farmington,+CT",,Farmington,CT,19,1,3,1,0,2,1,1,0,0,1,0,0,2,2,0,2,0,1,0,0,0,1,0,0,1,0,0
"Farmington+Hills,+MI",,Farmington Hills,MI,88,3,18,7,1,4,9,3,1,0,2,7,0,3,8,2,4,0,1,3,1,5,1,0,2,3,0,0
"Fayetteville,+AR",,Fayetteville,AR,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"Fayetteville,+NC",,Fayetteville,NC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferndale,+WA",,Ferndale,WA,4,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Findlay,+OH",,Findlay,OH,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Fishers,+IN",,Fishers,IN,38,1,3,3,0,3,2,0,0,2,1,0,0,0,4,4,7,0,1,0,1,3,1,1,0,1,0,0
"Fishkill,+NY",,Fishkill,NY,9,1,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Flint,+MI",,Flint,MI,5,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"Floral+Park,+NY",,Floral Park,NY,277,4,37,58,1,16,12,7,3,3,12,11,0,6,25,4,13,7,14,8,14,14,2,1,1,3,1,0
"Florence,+KY",,Florence,KY,51,0,7,3,0,2,4,2,0,1,0,3,0,7,7,7,0,0,1,1,1,1,0,1,0,3,0,0
"Florence,+SC",,Florence,SC,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Florence,+AL",,Florence,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Florham+Park,+NJ",,Florham Park,NJ,294,5,51,52,1,16,13,7,2,1,11,15,0,5,29,3,18,6,13,10,11,12,3,4,2,3,1,0
"Flower+Mound,+TX",,Flower Mound,TX,146,8,28,6,0,8,14,5,5,3,0,5,0,9,17,1,7,5,6,5,0,6,5,1,2,0,0,0
"Folsom,+CA",,Folsom,CA,18,0,3,1,0,2,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,3,0,1,0,1,1,0
"Foothill+Ranch,+CA",,Foothill Ranch,CA,124,4,11,13,1,7,12,2,6,2,0,7,0,4,13,3,6,0,4,6,3,12,2,2,0,0,4,0
"Forest+Hills,+NY",,Forest Hills,NY,299,4,42,60,1,18,14,8,3,3,13,11,0,6,28,5,16,7,14,9,15,14,2,1,1,3,1,0
"Fort+Collins,+CO",,Fort Collins,CO,12,0,0,2,1,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0
"Fort+Lauderdale,+FL",,Fort Lauderdale,FL,101,2,13,12,0,9,6,2,2,1,3,6,0,3,9,4,4,5,6,2,1,6,2,2,0,1,0,0
"Fort+Lee,+NJ",,Fort Lee,NJ,306,5,48,59,1,18,14,8,3,3,13,12,0,6,29,5,16,7,14,10,14,13,2,1,1,3,1,0
"Fort+Mill,+SC",,Fort Mill,SC,48,3,9,1,0,5,5,2,0,1,0,6,0,4,5,1,3,1,0,0,0,1,0,1,0,0,0,0
"Fort+Myers,+FL",,Fort Myers,FL,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Fort+Thomas,+KY",,Fort Thomas,KY,55,0,8,3,0,2,4,2,0,1,0,3,0,7,9,7,0,0,2,1,1,1,0,1,0,3,0,0
"Fort+Valley,+GA",,Fort Valley,GA,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Fort+Walton+Beach,+FL",,Fort Walton Beach,FL,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Fort+Washington,+PA",,Fort Washington,PA,127,4,18,7,0,16,10,1,1,0,4,10,0,8,16,3,8,3,2,1,1,4,3,4,3,0,0,0
"Fort+Wayne,+IN",,Fort Wayne,IN,5,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Fort+Worth,+TX",,Fort Worth,TX,48,4,10,3,1,4,5,2,0,1,0,1,0,4,5,0,1,1,4,0,0,1,1,0,0,0,0,0
"Foster+City,+CA",,Foster City,CA,233,4,41,36,0,7,13,12,4,3,6,9,0,5,22,2,27,0,11,7,2,5,5,1,3,2,6,0
"Fountain+Valley,+CA",,Fountain Valley,CA,188,4,17,26,1,8,14,3,7,3,0,7,0,3,26,7,12,2,9,10,4,11,3,3,1,1,6,0
"Framingham,+MA",,Framingham,MA,157,5,27,17,3,16,7,4,3,1,2,5,0,4,11,3,16,6,5,5,1,4,4,2,2,4,0,0
"Frankfort,+KY",,Frankfort,KY,5,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Franklin,+MA",,Franklin,MA,132,2,19,17,2,11,7,5,3,2,1,4,0,3,8,2,13,5,7,4,1,3,5,3,2,3,0,0
"Franklin,+TN",,Franklin,TN,42,4,5,3,1,4,4,1,1,0,1,5,0,1,6,0,4,0,0,0,1,0,0,1,0,0,0,0
"Franklin,+WI",,Franklin,WI,44,2,5,4,1,1,2,0,1,0,0,4,0,8,5,2,1,0,3,0,0,2,0,0,1,2,0,0
"Franklin,+NJ",,Franklin,NJ,94,2,28,5,1,6,3,1,0,0,2,6,0,4,9,2,8,0,3,4,2,2,2,3,1,0,0,0
"Franklin,+OH",,Franklin,OH,32,1,6,1,1,2,0,0,0,0,1,0,0,6,3,5,0,0,1,0,1,0,2,0,0,2,0,0
"Franklin+park,+IL",,Franklin park,IL,245,9,46,27,0,14,10,12,6,4,7,11,0,18,23,10,13,1,6,6,3,9,2,1,1,2,4,0
"Frederick,+MD",,Frederick,MD,61,3,13,4,18,3,1,0,2,0,0,2,0,0,4,2,2,1,1,1,0,1,1,0,1,1,0,0
"Fredericksburg,+VA",,Fredericksburg,VA,9,1,0,1,3,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"Freeport,+NY",,Freeport,NY,259,3,36,53,0,14,12,7,3,3,12,10,0,5,22,3,11,7,14,8,14,14,1,2,1,3,1,0
"Freeport,+OH",,Freeport,OH,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fremont,+CA",,Fremont,CA,229,4,42,36,0,7,13,10,4,3,6,8,0,5,22,2,27,0,10,7,2,5,5,0,3,2,6,0
"Fresno,+CA",,Fresno,CA,6,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Fridley,+MN",,Fridley,MN,77,4,17,8,0,7,4,0,1,1,0,3,0,2,8,2,6,0,5,2,0,2,4,0,0,1,0,0
"Frisco,+TX",,Frisco,TX,137,7,27,5,0,6,13,4,5,2,0,5,0,8,17,1,6,5,6,5,0,6,5,1,3,0,0,0
"Fruita,+CO",,Fruita,CO,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ft+Lauderdale,+FL",,Ft Lauderdale,FL,101,2,13,12,0,9,6,2,2,1,3,6,0,3,9,4,4,5,6,2,1,6,2,2,0,1,0,0
"Ft.+Lauderdale,+FL",,Ft. Lauderdale,FL,101,2,13,12,0,9,6,2,2,1,3,6,0,3,9,4,4,5,6,2,1,6,2,2,0,1,0,0
"Fullerton,+CA",,Fullerton,CA,215,4,18,33,2,10,15,4,7,4,0,7,0,4,26,7,15,4,12,9,4,15,3,3,1,2,6,0
"Gahanna,+OH",,Gahanna,OH,42,1,11,5,1,3,3,1,0,0,0,1,0,1,1,3,2,0,3,1,0,0,2,0,1,1,1,0
"Gainesville,+FL",,Gainesville,FL,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaithersburg,+MD",,Gaithersburg,MD,344,7,85,16,104,10,10,1,8,4,3,8,0,1,31,5,19,5,2,7,2,5,5,1,2,2,1,0
"Galena,+OH",,Galena,OH,43,1,11,6,1,3,3,1,0,0,0,1,0,1,1,3,2,0,3,1,0,0,2,0,1,1,1,0
"Gallatin,+TN",,Gallatin,TN,25,4,3,3,0,2,3,0,1,0,0,2,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0
"Garden+City,+NY",,Garden City,NY,280,3,38,59,1,15,13,7,3,4,12,10,0,7,24,5,14,7,14,8,14,14,1,2,1,3,1,0
"Garden+City,+ID",,Garden City,ID,9,1,0,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0
"Garden+Grove,+CA",,Garden Grove,CA,206,4,17,30,2,10,15,3,7,3,0,7,0,3,26,7,15,3,11,10,4,14,3,3,1,2,6,0
"Gardena,+CA",,Gardena,CA,193,3,13,30,1,9,14,6,3,4,1,3,0,4,23,5,12,4,14,7,9,16,1,3,1,3,4,0
"Garland,+TX",,Garland,TX,139,8,27,5,0,7,13,4,5,2,0,5,0,8,17,1,6,5,6,5,0,6,5,1,3,0,0,0
"Garner,+NC",,Garner,NC,44,2,3,6,0,7,2,1,0,2,2,4,0,2,1,0,5,0,2,0,0,1,1,0,1,2,0,0
"Garnet+Valley,+PA",,Garnet Valley,PA,112,4,19,5,1,14,8,1,0,0,5,11,0,2,14,3,6,2,2,1,1,5,2,3,3,0,0,0
"Gas+City,+IN",,Gas City,IN,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"Geismar,+LA",,Geismar,LA,11,2,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,1,0,0
"Geneva,+IL",,Geneva,IL,136,9,22,9,0,7,6,9,1,0,3,8,0,14,10,7,3,1,6,3,2,6,2,1,1,2,4,0
"Georgetown,+CT",,Georgetown,CT,43,1,7,8,1,3,3,1,1,1,4,0,0,1,2,2,2,0,0,0,4,0,0,2,0,0,0,0
"Georgetown,+TX",,Georgetown,TX,96,4,9,12,3,7,6,3,4,0,3,0,0,5,7,3,6,1,6,2,1,8,3,1,1,1,0,0
"Germantown,+MD",,Germantown,MD,341,8,85,16,104,10,10,1,8,4,3,8,0,1,28,5,19,5,2,7,2,5,5,0,2,2,1,0
"Germantown,+WI",,Germantown,WI,45,1,5,4,1,1,2,0,1,0,0,4,0,7,5,2,1,0,5,0,1,2,0,0,1,2,0,0
"Getzville,+NY",,Getzville,NY,12,1,2,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,1,1,0,0,1,0,0,0,0,0
"Gibbsboro,+NJ",,Gibbsboro,NJ,109,4,15,5,0,15,8,1,1,0,3,10,0,7,14,3,7,3,2,1,1,3,2,4,0,0,0,0
"Gibson,+LA",,Gibson,LA,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gilbert,+AZ",,Gilbert,AZ,92,0,13,6,3,12,4,1,3,3,1,1,0,4,9,2,13,0,7,2,0,5,1,0,0,2,0,0
"Gladwyne,+PA",,Gladwyne,PA,129,4,19,8,0,17,10,1,1,0,5,11,0,6,15,3,7,3,2,1,1,5,3,4,3,0,0,0
"Glastonbury,+CT",,Glastonbury,CT,21,1,3,1,1,2,0,2,0,0,1,0,0,1,4,0,2,0,1,0,0,0,1,0,0,1,0,0
"Glen+Allen,+VA",,Glen Allen,VA,23,1,5,2,0,1,0,0,0,0,0,3,0,0,1,2,0,0,4,0,0,4,0,0,0,0,0,0
"Glen+Burnie,+MD",,Glen Burnie,MD,156,6,30,7,35,10,4,0,5,3,3,5,0,2,21,2,5,2,2,1,1,5,4,1,0,2,0,0
"Glen+Carbon,+IL",,Glen Carbon,IL,29,1,4,3,1,2,5,1,0,1,1,1,0,1,1,3,0,0,1,0,0,1,0,0,1,1,0,0
"Glen+Ellyn,+IL",,Glen Ellyn,IL,242,9,46,27,0,14,10,12,6,4,7,11,0,16,22,10,13,1,6,6,3,9,2,1,1,2,4,0
"Glen+Rock,+NJ",,Glen Rock,NJ,285,5,45,56,1,17,14,7,2,1,12,12,0,5,30,3,15,6,13,9,12,12,2,1,1,3,1,0
"Glendale,+CA",,Glendale,CA,170,1,16,28,1,6,10,5,2,3,1,2,0,5,20,6,12,4,13,5,8,12,1,2,1,3,3,0
"Glendale+Heights,+IL",,Glendale Heights,IL,243,9,46,27,0,14,10,12,6,4,7,11,0,16,22,10,13,1,7,6,3,9,2,1,1,2,4,0
"Glenview,+IL",,Glenview,IL,239,9,46,25,0,15,10,12,6,4,7,11,0,13,22,10,13,1,7,6,3,9,2,1,1,2,4,0
"Gloucester+Ciy,+NJ",,Gloucester Ciy,NJ,129,4,20,7,0,17,10,1,1,0,5,11,0,7,14,3,7,3,2,1,1,5,3,4,3,0,0,0
"Gold+River,+CA",,Gold River,CA,19,0,3,1,0,2,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,3,1,1,0,1,1,0
"Golden,+CO",,Golden,CO,116,5,13,12,0,7,2,10,1,1,1,6,0,1,16,0,16,3,2,3,0,8,1,1,1,3,3,0
"Golden+Valley,+MN",,Golden Valley,MN,77,4,17,8,0,7,4,0,1,1,0,3,0,2,8,2,6,0,5,2,0,2,4,0,0,1,0,0
